11cm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10cm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9cm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8cm,1345,1348,1345,1348,1342,1323,1302,1337,1337,1324,1316,1339,1343,1332,1318,1327,1340,1332,1314,1300,1344,1338,1320,1302,1338,1340,1326,1316,1334,1345,1349,1333,1334,1358,1356,1339,1324,1355,1354,1337,1332,1357,1359,1352,1329,1342,1355,1342,1324,1311,1350,1350,1353,1330,1307,1341,1337,1326,1307,1324,1336,1337,1320,1324,1345,1336,1322,1298,1337,1335,1321,1315,1341,1341,1332,1316,1326,1341,1330,1318,1304,1346,1341,1324,1311,1342,1337,1328,1306,1327,1336,1331,1320,1322,1344,1338,1319,1305,1343,1347
7cm,1621,1621,1621,1621,1606,1601,1619,1620,1615,1606,1611,1620,1615,1605,1595,1625,1618,1613,1602,1618,1620,1613,1604,1605,1614,1618,1610,1600,1600,1620,1623,1612,1599,1617,1619,1610,1608,1609,1624,1616,1610,1599,1618,1619,1612,1599,1624,1623,1616,1605,1610,1622,1617,1605,1594,1617,1623,1611,1601,1615,1620,1613,1600,1612,1616,1609,1607,1604,1621,1617,1610,1595,1616,1617,1606,1594,1619,1620,1614,1602,1608,1617,1614,1607,1598,1615,1615,1613,1613,1595,1619,1617,1609,1598,1614,1614,1606,1606,1610,1620
6cm,1861,1829,1861,1829,1843,1841,1852,1842,1842,1841,1853,1842,1842,1855,1853,1841,1843,1841,1854,1840,1843,1842,1854,1839,1843,1842,1855,1838,1842,1842,1855,1839,1842,1857,1855,1839,1841,1843,1855,1840,1838,1843,1856,1826,1839,1843,1857,1841,1839,1842,1856,1841,1839,1839,1841,1857,1841,1839,1827,1856,1842,1840,1840,1842,1842,1840,1838,1856,1842,1841,1838,1856,1843,1841,1839,1856,1857,1841,1839,1855,1842,1856,1840,1854,1841,1842,1839,1853,1843,1842,1840,1839,1843,1842,1841,1852,1842,1842,1841,1853
5cm,2208,2203,2208,2203,2197,2207,2207,2203,2199,2202,2212,2208,2202,2207,2214,2213,2206,2204,2215,2214,2207,2203,2215,2214,2211,2207,2212,2211,2209,2207,2210,2209,2212,2207,2203,2210,2209,2204,2199,2208,2211,2204,2200,2208,2211,2207,2207,2200,2206,2209,2205,2203,2203,2211,2208,2206,2199,2208,2208,2201,2195,2211,2209,2204,2198,2209,2208,2205,2199,2205,2205,2207,2201,2209,2210,2206,2200,2202,2204,2203,2200,2203,2209,2207,2201,2199,2209,2207,2202,2197,2205,2206,2202,2198,2208,2210,2203,2197,2207,2203
4cm,2655,2654,2655,2654,2654,2653,2648,2654,2655,2655,2651,2654,2656,2658,2650,2652,2654,2653,2647,2653,2655,2652,2650,2661,2661,2659,2653,2652,2653,2654,2654,2650,2656,2656,2649,2648,2653,2657,2652,2648,2653,2653,2652,2651,2654,2653,2653,2655,2653,2655,2654,2652,2654,2656,2651,2650,2653,2661,2652,2649,2653,2657,2655,2650,2654,2651,2655,2649,2652,2654,2654,2649,2656,2657,2654,2649,2657,2656,2653,2649,2649,2654,2659,2655,2649,2654,2656,2655,2650,2650,2655,2655,2652,2651,2655,2655,2652,2649,2655,2653
3cm,3265,3256,3265,3256,3259,3259,3259,3255,3257,3256,3259,3256,3260,3258,3263,3256,3260,3257,3259,3257,3261,3260,3263,3256,3259,3257,3261,3255,3255,3256,3261,3262,3257,3262,3257,3258,3257,3260,3259,3259,3256,3260,3261,3260,3256,3258,3262,3262,3259,3257,3257,3262,3257,3261,3257,3262,3256,3261,3255,3260,3258,3261,3258,3263,3257,3262,3258,3260,3255,3257,3260,3262,3256,3259,3256,3261,3257,3261,3260,3259,3256,3258,3259,3258,3254,3257,3260,3261,3258,3258,3258,3258,3262,3256,3259,3257,3257,3256,3258,3258
2cm,4002,3992,4002,3992,3996,3994,3997,3993,3995,3994,3995,3995,3997,3995,3997,3992,3996,3999,3998,3994,3998,3998,3995,3995,3998,3996,3996,3998,3998,3999,3994,3998,3998,3996,3994,3999,4000,3995,3996,3997,3999,3995,3995,3978,3978,3997,3995,3994,3996,3993,3995,3993,3999,3996,3995,3993,3995,3995,3996,3994,3996,3998,3995,3997,3996,3997,3995,3994,3998,3996,3991,3998,3996,3994,3995,3996,3998,3992,3994,3994,3995,3996,3992,3998,3998,3991,3995,3994,3995,3994,3997,3995,3995,3995,3994,3997,3995,3994,3994,3994
1cm,4322,4324,4322,4324,4323,4323,4324,4328,4323,4327,4326,4325,4324,4325,4325,4325,4324,4327,4324,4322,4324,4326,4324,4326,4323,4324,4327,4322,4319,4324,4327,4324,4323,4323,4326,4324,4326,4324,4327,4327,4326,4322,4326,4326,4327,4325,4327,4324,4326,4324,4328,4327,4326,4324,4326,4324,4324,4327,4324,4326,4322,4326,4327,4328,4326,4327,4323,4325,4326,4326,4327,4327,4324,4326,4329,4325,4323,4322,4326,4323,4326,4324,4324,4325,4327,4324,4328,4327,4322,4322,4324,4324,4323,4325,4324,4325,4325,4325,4326,4324
0cm,4347,4359,4347,4359,4356,4358,4359,4359,4361,4360,4358,4361,4359,4358,4361,4358,4358,4360,4360,4358,4359,4360,4358,4360,4361,4362,4358,4360,4360,4359,4360,4360,4362,4360,4359,4365,4361,4360,4359,4360,4361,4357,4363,4360,4360,4360,4359,4361,4360,4357,4360,4361,4359,4358,4359,4361,4363,4361,4360,4362,4359,4359,4357,4359,4364,4360,4360,4362,4359,4364,4357,4361,4361,4361,4360,4360,4359,4360,4360,4359,4361,4360,4360,4362,4359,4361,4363,4361,4360,4359,4361,4361,4361,4360,4359,4359,4359,4362,4362,4359
