11cm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10cm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9cm,1157,1104,1157,1104,1143,1144,1131,1124,1120,1148,1141,1133,1096,1137,1141,1139,1130,1099,1145,1153,1133,1104,1126,1156,1139,1123,1123,1103,1155,1143,1142,1124,1117,1147,1149,1127,1119,1132,1143,1139,1137,1109,1139,1147,1142,1109,1109,1144,1158,1127,1084,1128,1145,1144,1113,1098,1142,1140,1142,1111,1124,1141,1135,1118,1103,1126,1133,1136,1129,1089,1137,1144,1134,1097,1122,1134,1134,1151,1119,1096,1136,1151,1126,1110,1096,1150,1137,1118,1103,1139,1143,1146,1119,1086,1132,1134,1126,1110,1117,1142
8cm,1543,1538,1543,1538,1533,1546,1529,1539,1539,1550,1532,1536,1539,1551,1535,1530,1539,1553,1537,1534,1532,1553,1540,1536,1532,1550,1539,1537,1535,1544,1544,1541,1541,1536,1546,1536,1541,1539,1550,1532,1547,1540,1553,1534,1534,1541,1553,1551,1533,1539,1562,1538,1546,1532,1553,1540,1538,1533,1551,1541,1540,1536,1545,1539,1541,1537,1547,1533,1540,1542,1551,1534,1537,1540,1552,1537,1531,1540,1563,1539,1539,1534,1534,1563,1540,1537,1534,1552,1561,1539,1537,1545,1540,1539,1537,1548,1534,1541,1541,1552
7cm,1833,1826,1833,1826,1813,1828,1829,1827,1818,1816,1831,1839,1829,1825,1810,1810,1834,1831,1823,1812,1821,1837,1836,1825,1819,1826,1830,1831,1821,1810,1831,1838,1829,1822,1814,1827,1834,1828,1818,1809,1829,1834,1822,1819,1820,1832,1828,1823,1811,1819,1832,1833,1827,1815,1830,1832,1826,1820,1807,1826,1837,1825,1819,1812,1832,1831,1831,1822,1816,1813,1830,1836,1823,1810,1825,1830,1821,1817,1810,1823,1825,1824,1820,1812,1827,1828,1823,1816,1812,1826,1823,1821,1819,1821,1827,1827,1820,1810,1826,1828
6cm,1934,1953,1934,1953,1944,1939,1948,1958,1952,1948,1933,1957,1950,1952,1947,1937,1951,1958,1950,1944,1950,1959,1953,1947,1932,1949,2084,1950,1943,1942,1957,1953,1947,1947,1944,2083,1953,1945,1952,1940,1957,1956,1956,1947,1940,1953,1954,1948,1947,1947,1957,1956,1949,1938,1953,1959,1948,1944,1940,1957,1953,1950,1947,1943,1955,1953,1948,1939,1958,1958,1953,1949,1940,1953,2087,1951,1941,1937,1953,1953,1952,1952,1941,1947,1953,1953,1944,1936,1950,1959,1952,1948,1940,2086,1956,1949,1947,1942,1949,1959
5cm,2269,2285,2269,2285,2286,2279,2272,2284,2287,2284,2275,2283,2285,2284,2279,2275,2286,2283,2280,2282,2285,2287,2284,2282,2275,2284,2283,2277,2274,2286,2285,2285,2281,2274,2283,2285,2283,2283,2275,2278,2287,2285,2280,2272,2285,2285,2281,2274,2277,2279,2285,2278,2271,2286,2287,2278,2275,2276,2284,2282,2283,2274,2283,2281,2280,2274,2283,2280,2283,2276,2274,2283,2281,2284,2274,2280,2286,2286,2277,2268,2289,2291,2283,2278,2281,2287,2288,2280,2280,2272,2282,2287,2281,2276,2277,2287,2281,2283,2273,2282
4cm,2708,2710,2708,2710,2705,2713,2719,2717,2712,2712,2718,2719,2711,2706,2719,2711,2714,2711,2711,2716,2715,2711,2704,2717,2713,2709,2711,2714,2713,2715,2709,2708,2713,2712,2713,2707,2713,2717,2714,2713,2708,2716,2716,2711,2709,2712,2714,2711,2706,2707,2719,2714,2714,2714,2708,2712,2715,2713,2711,2712,2718,2714,2713,2709,2714,2713,2709,2707,2710,2716,2714,2714,2707,2719,2717,2711,2707,2708,2716,2713,2711,2707,2721,2713,2712,2709,2710,2715,2715,2710,2705,2715,2714,2713,2709,2711,2715,2711,2710,2714
3cm,3243,3241,3243,3241,3244,3244,3249,3245,3244,3242,3244,3243,3240,3240,3236,3239,3239,3238,3234,3225,3226,3229,3227,3229,3229,3236,3235,3225,3230,3228,3231,3232,3227,3231,3234,3235,3232,3231,3230,3230,3228,3229,3225,3231,3232,3231,3229,3234,3236,3236,3235,3229,3238,3235,3230,3233,3230,3230,3235,3227,3229,3230,3231,3229,3231,3235,3236,3236,3234,3230,3226,3231,3230,3232,3230,3228,3232,3234,3235,3229,3233,3234,3235,3226,3231,3238,3238,3239,3236,3230,3239,3239,3237,3235,3243,3245,3248,3239,3235,3238
2cm,4049,4061,4049,4061,4050,4049,4050,4061,4049,4049,4055,4055,4061,4049,4049,4049,4061,4049,4061,4049,4061,4049,4041,4049,4061,4049,4049,4049,4061,4049,4049,4049,4061,4049,4049,4049,4061,4049,4049,4049,4061,4049,4049,4049,4061,4049,4049,4061,4061,4049,4049,4049,4061,4049,4050,4050,4061,4049,4061,4050,4061,4050,4050,4050,4049,4061,4049,4049,4049,4061,4049,4049,4049,4061,4049,4049,4049,4061,4049,4049,4049,4061,4049,4049,4049,4062,4049,4049,4049,4061,4049,4050,4050,4061,4049,4049,4050,4061,4049,4049
1cm,4423,4423,4423,4423,4425,4425,4428,4425,4425,4426,4423,4424,4424,4428,4424,4427,4424,4429,4423,4424,4425,4424,4421,4423,4426,4422,4423,4429,4424,4422,4422,4427,4426,4435,4420,4426,4425,4423,4430,4431,4424,4427,4419,4429,4427,4428,4432,4423,4428,4424,4423,4424,4421,4427,4427,4423,4426,4423,4424,4425,4426,4427,4422,4426,4427,4431,4424,4424,4438,4424,4422,4423,4425,4427,4425,4420,4428,4425,4426,4421,4425,4428,4426,4421,4424,4424,4425,4428,4422,4425,4424,4422,4426,4423,4433,4423,4432,4424,4425,4423
0cm,4459,4475,4459,4475,4473,4447,4459,4473,4459,4447,4459,4447,4447,4447,4459,4473,4447,4474,4459,4447,4474,4475,4459,4447,4476,4474,4459,4447,4473,4447,4459,4459,4472,4474,4473,4459,4446,4447,4474,4461,4451,4456,4450,4467,4448,4447,4448,4461,4447,4448,4479,4461,4447,4447,4449,4461,4461,4473,4447,4461,4447,4448,4448,4461,4447,4447,4447,4461,4447,4447,4447,4461,4447,4448,4447,4461,4447,4447,4477,4461,4473,4448,4475,4461,4447,4447,4447,4447,4461,4448,4461,4447,4461,4447,4447,4461,4461,4461,4447,4447
