left sensor,right sensor
,40.017,40.017
,40.017,40.017
,40.017,40.017
,40.017,40.017
,40.017,40.017
,40.017,40.017
,40.017,40.017
,40.017,40.017
,40.017,40.017
,40.017,40.017
,40.017,40.017
,40.017,40.017
,40.017,40.017
,40.017,40.017
,40.017,40.017
,40.017,40.017
,40.017,40.017
,40.017,40.017
,40.017,40.017
,40.017,40.017
,40.017,40.017
,40.017,40.017
,40.017,40.017
,40.017,40.017
,40.017,40.017
,40.017,40.017
,40.017,40.017
,40.017,40.017
,40.017,40.017
,40.017,40.017
,40.017,40.017
,40.017,40.017
,40.017,40.017
,40.017,40.017
,40.017,40.017
,40.017,40.017
,40.017,40.017
,40.017,40.017
,40.017,40.017
,40.017,40.017
,40.017,40.017
,40.017,40.017
,40.017,40.017
,40.017,40.017
,40.017,40.017
,40.017,40.017
,40.017,40.017
,40.017,40.017
,40.017,40.017
,40.017,40.017
,40.017,40.017
,40.017,40.017
,40.017,40.017
,40.017,40.017
,40.017,40.017
,40.017,40.017
,40.017,40.017
,40.017,40.017
,40.017,40.017
,40.017,40.017
,40.017,40.017
,40.017,40.017
,40.017,40.017
,40.017,40.017
,40.017,40.017
,40.017,40.017
,40.017,40.017
,40.017,40.017
,40.017,40.017
,40.017,40.017
,40.017,40.017
,40.017,40.017
,40.017,40.017
,40.017,40.017
,40.017,40.017
,40.017,40.017
,40.017,40.017
,40.017,40.017
,40.017,40.017
,40.017,40.017
,40.017,40.017
,40.017,40.017
,40.017,40.017
,40.017,40.017
,40.017,40.017
,40.017,40.017
,40.017,40.017
,40.017,40.017
,40.017,40.017
,40.017,40.017
,40.017,40.017
,40.017,40.017
,40.017,40.017
,40.017,40.017
,40.017,40.017
,40.017,40.017
,40.017,40.017
,40.017,40.017
,40.017,40.017
,40.017,40.017
,0,0

